feedback_id,sentiment,theme_primary,theme_secondary,need_type,scenario,user_type,severity,purchase_impact,jtbd,is_actionable,confidence,model_name,prompt_version
F0001,2,connectivity,data_accuracy,incidental_failure,unknown,unknown,S3,unknown,用户希望上传活动后能在App中即时看到记录以达成数据闭环管理,True,0.6,MiniMax-M3,classify_v1
F0002,2,connectivity,data_accuracy;compatibility,real_need,training,unknown,S3,unknown,用户希望完整的心率和踏频数据能同步至Strava以达成跨平台训练数据统一,True,0.6,MiniMax-M3,classify_v1
F0003,2,display_ux,connectivity,real_need,unknown,unknown,S2,unknown,用户希望App配对页和地图入口能正常打开以完成配对和查看路线,True,0.6,MiniMax-M3,classify_v1
F0004,2,firmware,display_ux,real_need,unknown,unknown,S4,unknown,用户希望更新后仍保留中文界面选项以方便阅读使用,True,0.6,MiniMax-M3,classify_v1
F0005,2,connectivity,,real_need,unknown,unknown,S3,unknown,用户希望App能够稳定连接设备以完成数据同步,True,0.6,MiniMax-M3,classify_v1
F0006,2,connectivity,compatibility,real_need,unknown,unknown,S3,unknown,用户希望App能够自动同步骑行数据至Strava和TrainingPeaks以省去手动操作,True,0.6,MiniMax-M3,classify_v1
F0007,2,connectivity,data_accuracy;firmware,incidental_failure,unknown,unknown,S3,unknown,用户希望骑行记录能及时上传到App以达成数据及时查看与同步,True,0.6,MiniMax-M3,classify_v1
F0008,2,hardware,,real_need,unknown,unknown,S3,unknown,用户希望按一下开机键就能可靠开机以快速开始骑行记录,True,0.6,MiniMax-M3,classify_v1
F0009,2,connectivity,hardware;feature_request;price_value,real_need,unknown,enthusiast,S3,influence,用户希望码表App能稳定配对且持续连接以充分发挥码表功能价值,True,0.6,MiniMax-M3,classify_v1
F0010,2,firmware,after_sales,real_need,unknown,unknown,S4,influence,用户希望通过及时稳定的固件更新以维持产品可用性并避免选购竞品,True,0.6,MiniMax-M3,classify_v1
F0011,2,data_accuracy,feature_request,real_need,unknown,unknown,S4,unknown,用户希望ClimbPro功能准确识别爬坡并稳定显示坡度数据以辅助骑行,True,0.6,MiniMax-M3,classify_v1
F0012,2,hardware,data_accuracy,real_need,unknown,unknown,S4,unknown,用户希望码表电池续航与同类产品相当以满足长距离骑行记录需求,True,0.6,MiniMax-M3,classify_v1
F0013,2,connectivity,feature_request,real_need,unknown,unknown,S3,unknown,用户希望智能通知在骑行中稳定同步以避免分散注意力或错过重要信息,True,0.6,MiniMax-M3,classify_v1
F0014,2,navigation,feature_request;display_ux,feature_request,unknown,unknown,S4,unknown,用户希望在码表端直接创建路线并在偏离后自动重规划以独立完成导航,True,0.6,MiniMax-M3,classify_v1
F0015,2,connectivity,feature_request,feature_request,leisure,unknown,S4,unknown,用户希望码表能直接从Strava下载路线并支持长距离骑行路线规划,True,0.6,MiniMax-M3,classify_v1
F0016,2,display_ux,hardware,real_need,unknown,unknown,S4,unknown,用户希望在阳光下能清晰读取屏幕数据以安全骑行,True,0.6,MiniMax-M3,classify_v1
F0017,2,navigation,display_ux;hardware,real_need,racing,unknown,S3,blocker,用户希望导航功能在长距离和多转弯路线中持续可用以完成路线跟随,True,0.9,MiniMax-M3,classify_v1
F0018,2,navigation,data_accuracy;hardware,real_need,unknown,unknown,S2,unknown,用户希望偏离GPX路线触发重算时设备不崩溃且轨迹数据不丢失以完成可靠导航,True,0.88,MiniMax-M3,classify_v1
F0019,1,firmware,navigation;hardware,real_need,unknown,unknown,S2,unknown,用户希望骑行中设备能稳定运行以安全完成记录和导航,True,0.92,MiniMax-M3,classify_v1
F0020,1,hardware,firmware;after_sales,real_need,unknown,unknown,S2,unknown,用户希望设备不因缓存文件异常而批量变砖以保障正常使用,True,0.78,MiniMax-M3,classify_v1
F0021,2,firmware,connectivity;hardware,real_need,unknown,unknown,S2,unknown,用户希望GPS固件能正常更新以达成可靠定位的目的,True,0.78,MiniMax-M3,classify_v1
F0022,2,firmware,display_ux,real_need,unknown,unknown,S3,unknown,用户希望固件升级不导致菜单操作卡顿以维持流畅使用体验,True,0.9,MiniMax-M3,classify_v1
F0023,1,connectivity,firmware;after_sales,real_need,unknown,unknown,S2,unknown,用户希望GPS设备能持续稳定运行以避免骑行中或日常使用中断,False,0.72,MiniMax-M3,classify_v1
F0024,2,hardware,other,real_need,indoor,unknown,S3,unknown,用户希望智能骑行台在低速高扭矩区间安静稳定运转以不影响室内训练体验,True,0.8,MiniMax-M3,classify_v1
F0025,2,hardware,data_accuracy;compatibility,real_need,indoor,enthusiast,S3,unknown,用户希望在停止踩踏时功率立即归零以在虚拟骑行中实现符合物理的动作,True,0.88,MiniMax-M3,classify_v1
