card_id,worth_investigating,evidence_sufficient,priority_reasonable,action_executable,willing_to_enter_backlog,score_1_to_5,key_reason,missing_evidence,suggested_revision
EC-2026-0001,yes,no,yes,yes,no,4,"按李昂最终复核口径(2026-08-15):该卡指向连接与同步链路的值得调查问题,业务价值判断成立;现有证据更适合作为验证入口而非已确认缺陷——保留P1优先级,先补字段级对比实验、责任边界说明与最小验证方案,再决定是否进入正式待办",缺少稳定评论锚点、缺少本地真实截图、缺少服务端日志、缺少FIT字段级对比证据,保留P1优先级;结论限定为值得调查的同步链路问题;补充字段级对比实验、责任边界说明和最小验证方案后再决定是否进入正式待办
EC-2026-0002,yes,no,yes,partial,yes,2,"心率字段缺失影响运动数据完整性,但仅1条单平台证据,无法确认是同步设置、数据映射还是Strava侧问题",仅F0002单条;缺Strava侧确认;缺其他用户复现,"动作1让'用户'自查不合理,应由产品/支持主动排查;明确是on/off开关问题还是API字段映射问题"
EC-2026-0003,yes,no,yes,yes,yes,3,"白屏需杀App才能恢复,阻断核心配对/地图入口,值得查;单证据且无日志,置信度低",缺崩溃日志/复现环境;未说明涉及机型与系统版本,补充'启动流程异常'排查路径;增加崩溃监控埋点建议
EC-2026-0004,yes,no,yes,yes,yes,3,"更新后中文语言选项消失,直接影响中文用户(我方核心市场),单证据但问题明确",缺更新版本号;缺其他中文用户复现,补充版本回滚对比;建议自动化语言包完整性校验
EC-2026-0005,yes,yes,yes,yes,yes,4,"3条证据跨2平台,明确'几个月前开始失效'+月初间歇规律,指向第三方API变更,证据充分",缺API错误码/响应日志;未确认Strava/TrainingPeaks侧公告,动作好(查API+复现+手动兜底);建议补充第三方API变更监控
EC-2026-0006,yes,no,yes,yes,partial,2,"开机键偶发无响应属硬件可靠性问题,单证据,影响低频,可低优先跟进",单证据;缺故障率数据与批次信息,建议按批次/固件版本聚类后再决定返修还是设计变更
EC-2026-0007,no,no,no,no,no,1,"该卡内容为社区对开发团队的负面情绪表达,非产品缺陷;LLM建议动作'Purge the dev team'不当且不可执行,必须人工重写",缺事实性产品证据;仅1条社区情绪帖,"整卡重写:保留'社区对团队存在负面评价'信号,删除不当建议;或从正式发现中降级为舆情观察项"
EC-2026-0008,yes,no,yes,yes,yes,3,"ClimbPro幽灵爬坡/分割错误/坡度显示错误,功能准确性缺陷,单证据,动作具体可执行",单证据;缺路线数据对比样本,补充爬坡识别算法的测试用例建议(平坦路误判回归测试)
EC-2026-0009,yes,no,yes,yes,yes,3,"1h20m耗电39% vs 竞品3-4%,对比数据明确异常,值得调查;单证据",缺电池充放电曲线/功耗日志;缺使用场景(屏幕亮度/GPS模式),动作合理;建议补充同型号多用户对比
EC-2026-0010,no,yes,no,no,partial,2,"这是功能缺失(feature gap)非bug,单证据;动作owner为'待定'不可执行,应转为需求评估而非调查项",缺用户需求强度证据;缺竞品对标数据,"转为需求池:评估设备端路线创建与自动重路由的ROI,owner由产品团队补位"
EC-2026-0011,yes,no,yes,yes,yes,3,"Strava路线需手机中转+数量限制,体验缺陷且影响训练流程,动作(评估直接API集成)方向正确",单证据;'路线数量限制'具体数值未提供,补充Strava API直接集成可行性评估;确认限制数值后决定是否产品需求
EC-2026-0012,yes,yes,partial,yes,yes,3,"2条证据跨2品牌(Magene/iGPSPORT),阳光下可读性是码表基本要求,行业共性问题",缺屏幕规格(亮度nit/贴膜)与对比测试数据,优先级建议上调:竞品也存在说明是差异化机会点;补充阳光下实测标准
EC-2026-0013,yes,yes,no,no,partial,3,"Garmin Edge 1050竞品缺陷(导航卡死+OOM丢数据),信息价值高,但对本团队不可执行(修复动作归Garmin)",无我方产品对应场景证据,转为竞品风险洞察:我方产品同类场景(长路线导航)需规避内存问题;修复类动作删除
EC-2026-0014,yes,yes,no,no,partial,3,"Garmin固件问题大簇(6证据跨型号/平台,P1),信息完整但属竞品,对我方无直接行动项",无我方产品对应证据,转竞品监控:固件回归/更新机制教训(回退选项、测试流程)可借鉴为我方质量流程;降级出我方backlog
EC-2026-0015,yes,yes,no,no,no,3,"Wahoo Kickr Core硬件噪音,3平台证据充分,但竞品硬件问题我方无处置权",无,竞品洞察:硬件质控(皮带/轴承)教训;若我方有室内骑行生态可纳入兼容性测试
EC-2026-0016,yes,yes,no,no,partial,3,"Wahoo功率读数滞后/偏高,3证据,竞品问题;但功率准确性对开放生态(我方若对接第三方功率)有通用意义",缺校准流程对比数据,"竞品洞察+我方生态兼容性关注项;若我方设备支持第三方功率计,纳入校准一致性测试"
EC-2026-0017,yes,no,no,no,no,2,"Kickr蓝牙连接无功率,单证据且根因'ESD'仅为推测(光学传感器故障未经证实)",单证据;ESD假设无测试支撑,"竞品洞察;根因标注为待验证假设,不建议据此行动"
EC-2026-0018,no,no,no,no,no,2,此为行业新闻(The Verge报道Strava API政策)非用户反馈;动作指向Strava自身不可执行,无用户侧证据;Strava官方声明未核实,"转外部依赖风险监控:我方产品同步Strava,API政策变更直接影响功能;保留风险登记"
EC-2026-0019,yes,no,partial,yes,no,2,"iGPSPORT功率计校准卡死,竞品软件缺陷,单证据",单证据;缺设备型号与版本,"竞品洞察;若我方软件有类似校准流程,自查死锁风险"
EC-2026-0020,yes,no,no,no,no,2,"iGPSPORT ANT+电池状态缺失+蓝牙掉线,竞品问题,动作owner未指定不可执行",单证据;缺第三方传感器型号清单,"竞品洞察;我方若支持ANT+传感器,检查电池状态字段读取"
EC-2026-0021,yes,no,no,no,no,2,"Garmin用户流失信号(1050→1040),竞品客户决策,对我方无行动项",单证据;缺用户换购完整原因,"竞品洞察:用户换购决策因素可作竞品研究素材;'联系用户'动作对Garmin客服而非我方,删除"
